"","X1","idLV","SG_UF","CD_LOCALIDADE_TSE","NM_LOCALIDADE","NR_ZONA","NR_LOCVOT","NM_LOCVOT","DS_ENDERECO","DS_BAIRRO","NR_CEP","n_locs","street_name","street_number","locality","postal_code","sub_locality","provider","latitude","longitude","dispersion","clusters_count","providers_count","levenshtein_match_street_name"
"102",2834,60011252623,"RJ",60011,"RIO DE JANEIRO",25,2623,"ESCOLA MUNICIPAL PROFESSOR FRANCISCO JOSE ANTONIO","RUA DOS CAJAZEIROS - CONJUNTO HABITACIONAL SANTA VERIDIANA","SANTA CRUZ",23525250,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"103",2965,9067011104,"MT",90670,"CUIABÁ",1,1104,"ESCOLA ESTADUAL LICEU CUIABANO","PRAÇA GENERAL MALLET, S/N","CENTRO",78045250,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"104",2973,9067012461,"MT",90670,"CUIABÁ",1,2461,"ESCOLA MUNICIPAL BENEDITA XAVIER RODRIGUES","RUA LUIS FIRMINO DA FONSECA, 94","NOSSA SENHORA DA GUIA (DISTRITO)",78104000,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"105",2984,90670371040,"MT",90670,"CUIABÁ",37,1040,"E.E.P.G. ANTÔNIO CEZÁRIO NETO","TRAVESSA FREI AMBRÓSIO, 143","BANDEIRANTES",78010130,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"106",3011,90670391376,"MT",90670,"CUIABÁ",39,1376,"ESC MUN RURAL DE ENSINO BÁSICO PROF HILDA CAETANO DE OLIVEIRA LEITE","ESTRADA VELHA DA GUIA, KM 9","SUCURI",78042202,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"107",3013,90670391392,"MT",90670,"CUIABÁ",39,1392,"ESCOLA MUNICIPAL DE ENSINO BÁSICO NOSSA SENHORA APARECIDA","RUA FREI QUIRINO, 222","JARDIM NOVO COLORADO",78040430,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"108",3031,90670511015,"MT",90670,"CUIABÁ",51,1015,"ESCOLA MUNICIPAL NOSSA SENHORA DA PENHA DE FRANÇA","RUA BENEDITO DIMENCIANA PEDROSO S/N","COXIPÓ DO OURO (ZONA RURAL)",78102000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"109",3032,90670511023,"MT",90670,"CUIABÁ",51,1023,"ESCOLA ESTADUAL ANDRÉ AVELINO RIBEIRO","AVENIDA DEPUTADO OSVALDO CÂNDIDO PEREIRA S/N","CPA I",78055210,17,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"110",3042,90670511163,"MT",90670,"CUIABÁ",51,1163,"ESCOLA ESTADUAL RODOLFO AUGUSTO TRECHAUD E CURVO","RUA J QUADRA 9 N 25","RESIDENCIAL PAIAGUÁS",78048900,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"111",3046,90670511201,"MT",90670,"CUIABÁ",51,1201,"ESCOLA ESTADUAL PROFESSOR NEWTON ALFREDO DE AGUIAR","RUA CANARINHO 45","CPA IV 3ª ETAPA",78055190,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"112",3067,90670511449,"MT",90670,"CUIABÁ",51,1449,"COMUNIDADE SÃO JERÔNIMO","ZONA RURAL - CUIABÁ","COXIPÓ DO OURO (ZONA RURAL)",78000000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"113",3076,90670541090,"MT",90670,"CUIABÁ",54,1090,"E.M.P.G. MARIA AMBRÓSIO POMMOT","RUA 1900, QUADRA 30, S/N","JARDIM IMPERIAL",78000000,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"114",3088,90670551031,"MT",90670,"CUIABÁ",55,1031,"ESCOLA ESTADUAL AGENOR FERREIRA LEÃO","RUA 314, QUADRA 102, SETOR III","TIJUCAL",78088000,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"115",3089,90670551040,"MT",90670,"CUIABÁ",55,1040,"ESCOLA ESTADUAL ESTEVÃO ALVES CORREA","RUA 230,  QD 66, N. 51, SETOR II","TIJUCAL",78088000,13,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"116",3090,90670551058,"MT",90670,"CUIABÁ",55,1058,"ESCOLA  ESTADUAL MARIANA LUIZA MOREIRA","AVENIDA DA CAIXA D'AGUA, S/N., SETOR IV","TIJUCAL",78088000,11,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"117",3093,90670551082,"MT",90670,"CUIABÁ",55,1082,"ESCOLA MUNICIPAL NOVO RENASCER","FAZENDA VELHA","ZONA RURAL",78100000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"118",3095,90670551104,"MT",90670,"CUIABÁ",55,1104,"ESCOLA MUNICIPAL MARIA ELAZIR CORREA DE FIGUEIREDO","AVENIDA CARLOS ADDOR DE SOUZA S/N","SÃO JOÃO DEL REY",78000000,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"119",3121,90670551406,"MT",90670,"CUIABÁ",55,1406,"ESCOLA MUNICIPAL PE. RAIMUNDO CONCEIÇÃO POMBO MOREIRA DA CRUZ","ENTRE QUADRAS 42 E 90, S/N - FONE ORELHÃO 36660880","PARQUE CUIABÁ",78095000,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"120",3128,91219581139,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1139,"ESCOLA MUNICIPAL SATURNINO FORTUNADO DE ARRUDA","COMUNIDADE DE LAGINHA DE BAIXO","ZONA RURAL",78170000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"121",3129,91219581147,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1147,"ESCOLA MUNICIPAL MANOEL SANTANA DA SILVA","COMUNIDADE DOS COXOS","ZONA RURAL",78170000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"122",3130,91219581163,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1163,"ESCOLA MUNICIPAL JOSÉ DESIDÉRIO DE PINHO","COMUNIDADE CRISTAL","ZONA RURAL",78170000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"123",3133,91219581210,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1210,"ESCOLA MUNICIPAL DE  ENSINO FUNDAMENTAL WALDEZ TEIXEIRA","COMUNIDADE DE LAVRINHA","ZONA RURAL",78170000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"124",3134,91219581228,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1228,"ESCOLA MUNICIPAL JOSEFINA LUIZA DE ALMEIDA","COMUNIDADE MANDOVI","ZONA RURAL",78170000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"125",3135,91219581244,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1244,"ESCOLA MUNICIPAL PROFESSORA VERA PEREIRA DO NASCIMENTO","COMUNIDADE CARANDÁ MOITA GRANDE CAPÃO DAS ANTAS","ZONA RURAL",78170000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"126",3136,91219581252,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1252,"ESCOLA MUNICIPAL AGRÍCOLA GERÔNIMO DE SOUZA","P. A. JOSÉ FRANCISCO DO NASCIMENTO - COMUNIDADE CABOCLA","ZONA RURAL",78170000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"127",3137,91219581260,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1260,"ESCOLA MUNICIPAL  HENRIQUETA RAINHA DE FRANCA","LOCALIDADE DE LAGINHA DE CIMA","ZONA RURAL",78170000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"128",3141,91219581376,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1376,"ESCOLA MUNICIPAL ANA ANTONIA DE ALMEIDA LEITE","COMUNIDADE DE TANQUE FUNDO","ZONA RURAL",78125000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"129",3142,91219581384,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1384,"ESCOLA MUNICIPAL SR. VENCESLAU DA SILVA BARROS","QUILOMBO","ZONA RURAL",78125000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"130",3143,91219581406,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1406,"ESCOLA MUNICIPAL BETINA TAVARES DA SILVA TAQUES","COMUNIDADE FIGUEIRAL","ZONA RURAL",78170000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"131",3144,91219581414,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1414,"ESCOLA MUNICIPAL  PROF ELIETE PEDROSA DA COSTA","COMUNIDADE  PEDRO","ZONA RURAL",78150000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"132",3145,91219581422,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1422,"ESCOLA ESTADUAL  TEREZA CONCEIÇÃO ARRUDA","RODOV BR 060 -COMUNIDADE MATA CAVALO","ZONA RURAL",78150000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"133",3146,91219581430,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1430,"ESCOLA MUNICIPAL BENEDITO PEREIRA LEITE","COMUNIDADE RIO DOS PEIXES","ZONA RURAL",78150000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"134",3147,91219581449,"MT",91219,"NOSSA SENHORA DO LIVRAMENTO",58,1449,"EMEB MONTE HERMON","COMUNIDADE NINHO DAS AGUIAS","ZONA RURAL",78000000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"135",3152,91553381090,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1090,"ESCOLA ESTADUAL FAUSTINO DIAS DE AMORIM","RUA BOM JESUS, S/NR","VARGINHA (ZONA RURAL)",78180000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"136",3154,91553381112,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1112,"ESCOLA MUNICIPAL DO BARREIRINHO","AV. PRINCIPAL, S/NR","BARREIRINHO (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"137",3155,91553381120,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1120,"ESCOLA MUNICIPAL JERÔNIMO NUNES RONDON","AV. PRINCIPAL, S/NR","BARRA DO ARICÁ (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"138",3156,91553381139,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1139,"ESCOLA MUNICIPAL DO BARRANCO ALTO","AV. PRINCIPAL, S/NR","BARRANCO ALTO (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"139",3157,91553381155,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1155,"ESCOLA MUNICIPAL DA FAZENDA MIMOSO","AV. PRINCIPAL, S/NR","FAZENDA MIMOSO (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"140",3158,91553381171,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1171,"ESCOLA ESTADUAL SANTA CLAUDINA","AV. PRINCIPAL, S/NR","MIMOSO (ZONA RURAL)",78188000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"141",3159,91553381180,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1180,"ESCOLA MUNICIPAL BARTOLOMEU GONÇALVES DE QUEIROZ","AV. PRINCIPAL, S/NR","PORTO DE FORA (ZONA RURAL)",78180000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"142",3160,91553381198,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1198,"ESCOLA MUNICIPAL ANTÔNIO FERREIRA DA SILVA NETO","AV. PRINCIPAL, S/NR","ENGENHO VELHO (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"143",3162,91553381236,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1236,"ESCOLA MUNICIPAL DA PRAIA DO POÇO","AV. PRINCIPAL, S/NR","PRAIA DO POÇO (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"144",3163,91553381252,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1252,"ESCOLA MUNICIPAL JOSÉ MARIA DA COSTA","AV. PRINCIPAL, S/NR","SANGRADOURO (ZONA RURAL)",78180000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"145",3165,91553381295,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1295,"ESCOLA ESTADUAL DO CÓRREGO DO OURO","AV. PRINCIPAL, S/NR","CÓRREGO DO OURO (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"146",3166,91553381309,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1309,"ESCOLA MUNICIPAL DA GLEBA RESISTÊNCIA","AV. PRINCIPAL, S/NR","GLEBA RESISTÊNCIA (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"147",3167,91553381350,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1350,"ESCOLA MUNICIPAL JOSÉ FERREIRA DA SILVA","AV. PRINCIPAL, S/NR","MORRINHO (PRÓXIMO RODOVIA - ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"148",3168,91553381376,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1376,"ESCOLA MUNICIPAL DO BREJINHO","AV. PRINCIPAL, S/NR","BREJINHO (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"149",3171,91553381406,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1406,"ESCOLA MUNICIPAL DO VALE ABENÇOADO","AV. PRINCIPAL, S/NR","VALE ABENÇOADO (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"150",3173,91553381430,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1430,"ESCOLA ESTADUAL DO PONTAL DO GLÓRIA","AV. PRINCIPAL, S/NR","PONTAL DO GLÓRIA (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"151",3174,91553381457,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1457,"ESCOLA ESTADUAL DE SANTANA DO TAQUARAL","AV. PRINCIPAL, S/NR","SANTANA DO TAQUARAL (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"152",3175,91553381465,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1465,"ESCOLA MUNICIPAL MANOEL CARLOS DE CARVALHO","AV. PRINCIPAL, S/NR","SÃO JOSÉ DA BOA VISTA (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"153",3177,91553381481,"MT",91553,"SANTO ANTÔNIO DO LEVERGER",38,1481,"ESCOLA MUNICIPAL DO VALO VERDE","AV. PRINCIPAL, S/NR","VALO VERDE (ZONA RURAL)",78180000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"154",3178,91677201040,"MT",91677,"VÁRZEA GRANDE",20,1040,"CENTRO DE HABILITAÇÃO PROFISSIONAL PROFESSORA CELIA RODRIGUES DUQUE","RUA MIGUEL LEITE, 226","CENTRO",78110000,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"155",3179,91677201104,"MT",91677,"VÁRZEA GRANDE",20,1104,"ESCOLA ESTADUAL PEDRO GARDES","AV. FILINTO MULLER    1511","CENTRO",78110000,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"156",3180,91677201112,"MT",91677,"VÁRZEA GRANDE",20,1112,"ESCOLA MUNICIPAL PROFESSORA MARILCE BENEDITA DE ARRUDA","TRAVESSA MARIO MOTTA, S/N","CENTRO",78110000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"157",3181,91677201546,"MT",91677,"VÁRZEA GRANDE",20,1546,"ESCOLA ESTADUAL IRENE GOMES DE CAMPOS","ESTRADA DA GUARITA, S/N","FIGUEIRINHA",78110000,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"158",3182,91677201554,"MT",91677,"VÁRZEA GRANDE",20,1554,"ESCOLA MUNICIPAL MANOEL JOÃO DE ARRUDA","RUA GONCALO DOMINGOS DE CAMPOS, SN","FIGUEIRINHA",78110000,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"159",3183,91677201570,"MT",91677,"VÁRZEA GRANDE",20,1570,"ESCOLA ESTADUAL DEPUTADO MILTON FIGUEIREDO","AV. CRUZEIRO DO SUL, QUADRA 16, LOTE 20/21","JARDIM DOS ESTADOS",78110000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"160",3184,91677201589,"MT",91677,"VÁRZEA GRANDE",20,1589,"ESCOLA ESTADUAL UBALDO MONTEIRO DA SILVA","RUA MINAS GERAIS, S/N","JARDIM DOS ESTADOS",78110000,9,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"161",3185,91677201597,"MT",91677,"VÁRZEA GRANDE",20,1597,"ESCOLA ESTADUAL NADIR DE OLIVEIRA","7 DE SETEMBRO,  S/N","JARDIM GLÓRIA I",78110000,16,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"162",3186,91677201600,"MT",91677,"VÁRZEA GRANDE",20,1600,"ESCOLA MUNICIPAL PROFESSORA MARIA DAS GRACAS PINTO","RUA IARA, S/N","JARDIM GLÓRIA II",78110000,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"163",3187,91677201619,"MT",91677,"VÁRZEA GRANDE",20,1619,"ESCOLA MUNICIPAL PROFESSORA IRENICE GODOY DE CAMPOS SILVA","RUA CAMARÕES, S/N","JARDIM IMPERIAL",78110000,9,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"164",3188,91677201627,"MT",91677,"VÁRZEA GRANDE",20,1627,"ESCOLA ESTADUAL PROFESSOR VASTI PEREIRA DA CONCEIÇÃO","RUA CÁCERES, S/N","MAPIM",78110000,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"165",3189,91677201635,"MT",91677,"VÁRZEA GRANDE",20,1635,"ESCOLA MUNICIPAL PROFESSORA RITA AUXILIADORA CAMPOS CUNHA","RUA VENEZUELA, S/N","MAPIM",78110000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"166",3190,91677201643,"MT",91677,"VÁRZEA GRANDE",20,1643,"ESCOLA MUNICIPAL JOÃO PONCE DE ARRUDA","DISTRITO DA PASSAGEM DA CONCEICAO, S/N","DISTRITO DA PASSAGEM DA CONCEICAO, S/N",78110000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"167",3191,91677201643,"MT",91677,"VÁRZEA GRANDE",20,1643,"ESCOLA MUNICIPAL JOÃO PONCE DE ARRUDA","DISTRITO DA PASSAGEM DA CONCEICAO, S/N","DISTRITO DE PASSAGEM DA CONCEICAO",78110000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"168",3192,91677201651,"MT",91677,"VÁRZEA GRANDE",20,1651,"CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL MAMED UNTAR","RUA MARFIM S/N","JARDIM DE ALÁ",78115000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"169",3193,91677201678,"MT",91677,"VÁRZEA GRANDE",20,1678,"ESCOLA MUNICIPAL ANA FRANCISCA DE BARROS","RUA CARLOS GOMES, S/N","VINTE E TRÊS DE SETEMBRO",78000000,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"170",3194,91677201686,"MT",91677,"VÁRZEA GRANDE",20,1686,"ESCOLA MUNICIPAL JOAQUIM DA CRUZ COELHO","AVENIDA PROJETADA, S/N","SERRA DOURADA",78110000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"171",3195,91677201694,"MT",91677,"VÁRZEA GRANDE",20,1694,"ESCOLA MUNICIPAL PROFESSORA NAIR DE OLIVEIRA CORREA","RUA FRANCISCO MONTEIRO, S/N","MAPIM",78110000,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"172",3196,91677201708,"MT",91677,"VÁRZEA GRANDE",20,1708,"ESCOLA MUNICIPAL ANTONIO GOMES DA CRUZ","RUA 07 DE SETEMBRO, S/N","JARDIM GLÓRIA I",78000000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"173",3197,91677201716,"MT",91677,"VÁRZEA GRANDE",20,1716,"ESCOLA MUNICIPAL PADRE LUIZ MARIA GHISONI","RUA C, QUADRA 31, S/N","VILA ARTHUR",78000000,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"174",3198,91677201732,"MT",91677,"VÁRZEA GRANDE",20,1732,"ESCOLA ESTADUAL ANTONIO GERALDO GASPAROTO GATTIBONI","RUA NAPOLEAO JOSE DA  COSTA, S/N","PONTE NOVA",78115000,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"175",3199,91677201740,"MT",91677,"VÁRZEA GRANDE",20,1740,"DELEGACIA FEDERAL DE AGRICULTURA DE MATO GROSSO (DEMA)","ALAMEDA DR.  ANIBAL MOLINA ,   S/N","PONTE NOVA",78115000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"176",3200,91677201759,"MT",91677,"VÁRZEA GRANDE",20,1759,"ESCOLA ESTADUAL PROFESSOR MARIA MACEDO RODRIGUES","RUA MARTIN ALFONSO, SN","MAPIM",78110000,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"177",3201,91677201767,"MT",91677,"VÁRZEA GRANDE",20,1767,"CENTRO DE ATENCAO INTEGRAL À CRIANCA GONCALO DOMINGOS DE CAMPOS (CAIC)","RUA PIRAPORA, SN","JARDIM DE ALÁ",78000000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"178",3202,91677201775,"MT",91677,"VÁRZEA GRANDE",20,1775,"ESCOLA MUNICIPAL BENEDITA BERNARDINA CURVO","RUA 19, SN","COHAB NOVA IPE",78000000,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"179",3203,91677201805,"MT",91677,"VÁRZEA GRANDE",20,1805,"ESCOLA MUNICIPAL DEPUTADO ARY LEITE DE CAMPOS","RUA H, QUADRA 14, S/N","PARQUE DAS MANGABEIRAS",78110000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"180",3204,91677201821,"MT",91677,"VÁRZEA GRANDE",20,1821,"ESCOLA ESTADUAL PROFESSOR JERCY JACOB","RUA SÃO JUDAS TADEU, S/N","ÁGUA VERMELHA",78110000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"181",3205,91677201830,"MT",91677,"VÁRZEA GRANDE",20,1830,"ESCOLA ESTADUAL MARIA LEITE MARCOSKI","RUA 05, QUADRA 20, S/N","JARDIM MARAJOARA",78110000,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"182",3206,91677201848,"MT",91677,"VÁRZEA GRANDE",20,1848,"ESCOLA ESTADUAL PROFESSORA PORFIRIA PAULA DE CAMPOS","RUA ABDALA JOSE DE ALMEIDA, S/N","COHAB SANTA ISABEL",78110000,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"183",3207,91677201856,"MT",91677,"VÁRZEA GRANDE",20,1856,"ESCOLA MUNICIPAL NAPOLEÃO JOSE DA COSTA","RUA 18, QD 37, S/N","JARDIM MARAJOARA",78110000,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"184",3208,91677201864,"MT",91677,"VÁRZEA GRANDE",20,1864,"ESCOLA ESTADUAL MERCEDES DE PAULA SODA","RUA V, S/N","JARDIM PAULA I",78110000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"185",3209,91677201872,"MT",91677,"VÁRZEA GRANDE",20,1872,"ESCOLA ESTADUAL PROFESSORA ARLETE MARIA DA SILVA","RUA F, QUADRA 12, S/N","COHAB ASA BELA",78110000,9,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"186",3210,91677201880,"MT",91677,"VÁRZEA GRANDE",20,1880,"ESCOLA MUNICIPAL SENHORA DIRCE LEITE DE CAMPOS","RUA MARQUES DE SAO VICENTE, QUADRA 58, S/N","JARDIM ITORORÓ",78110000,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"187",3211,91677201899,"MT",91677,"VÁRZEA GRANDE",20,1899,"ESCOLA MUNICIPAL ARISTIDES POMPEO DE CAMPOS","RUA E QUADRA 22","CIDADE DE DEUS",78110000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"188",3212,91677201902,"MT",91677,"VÁRZEA GRANDE",20,1902,"ESCOLA ESTADUAL JAIME VERÍSSIMO DE CAMPOS JUNIOR","AV. CHILE, S/N","JARDIM TARUMÃ",78158590,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"189",3213,91677201910,"MT",91677,"VÁRZEA GRANDE",20,1910,"CRECHE CENTRO EDUCACIONAL DE APOIO A FAMÍLIA","RUA DO AMOR, 182","JARDIM GLÓRIA II",78140780,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"190",3214,91677201929,"MT",91677,"VÁRZEA GRANDE",20,1929,"CENTRO COMUNITÁRIO ALEIXO RAMOS","AO LADO DO TREVO, AV. MÁRIO ANDREAZA","DISTRITO DA GUARITA",78100000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"191",3215,91677201937,"MT",91677,"VÁRZEA GRANDE",20,1937,"ESCOLA MUNICIPAL EDNILSON FRANCISCO KOLLING","AVENIDA TIRADENTES Q. 03 SN","JARDIM MANAIRA",78150000,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
